"target_construct","predictor","Q_mod","Q_df","Q_mod_p","P_adj_fdr","P_adj_holm"
"construct_a","contact_count",0.173214295527105,1,0.677270818905524,0.713664159489457,1
"construct_a","contact_duration_band",2.40505959778584,2,0.300433214119896,0.600866428239793,0.901299642359689
"construct_a","intensity_band",7.58937869563383,2,0.0224898912654759,0.0899595650619036,0.0899595650619036
"construct_a","measurement_stage",0.134644584090926,1,0.713664159489457,0.713664159489457,1
"construct_b","contact_count",2.96557923792616,1,0.0850539909434571,0.170107981886914,0.255161972830371
"construct_b","contact_duration_band",2.8783668795695,2,0.237121303473484,0.316161737964645,0.474242606946968
"construct_b","intensity_band",6.72583081720489,2,0.0346341389466823,0.138536555786729,0.138536555786729
"construct_b","measurement_stage",0.0205963343525621,1,0.885884073279485,0.885884073279485,0.885884073279485
"construct_c","contact_count",2.61529851873333,1,0.105837606325612,0.211675212651223,0.317512818976835
"construct_c","contact_duration_band",0.295243912138896,2,0.862757213426461,0.862757213426461,0.862757213426461
"construct_c","intensity_band",12.3343494512091,2,0.00209715267021423,0.0083886106808569,0.0083886106808569
"construct_c","measurement_stage",1.54122969295216,1,0.214434860612247,0.285913147482996,0.428869721224494
